Date,Num1,Num2,Num3,Num4,Num5,Num6
2025-04-01,2,22,26,31,35,50
2025-04-03,5,21,24,26,33,57
2025-04-06,15,18,28,53,55,60
2025-04-08,7,13,15,21,22,24
2025-04-10,2,3,19,30,40,55
2025-04-13,5,25,26,29,39,47
2025-04-15,9,15,37,43,44,57
2025-04-17,4,6,7,18,21,38
2025-04-20,10,12,32,36,44,58
2025-04-22,19,27,34,40,48,54
2025-04-24,9,21,33,37,39,56
2025-04-27,2,23,29,45,50,59
2025-04-29,28,32,35,47,54,58
2025-05-01,1,26,34,35,39,45
2025-05-04,1,4,18,26,35,44
2025-05-06,2,16,25,30,31,47
2025-05-08,7,32,45,50,56,58
2025-05-11,5,19,33,37,43,47
2025-05-13,1,10,15,21,35,55
2025-05-15,22,28,33,37,39,52
2025-05-18,1,13,25,44,46,60
2025-05-20,4,15,28,50,53,59
2025-05-22,12,27,31,34,40,55
2025-05-25,6,8,12,17,22,58
2025-05-27,5,18,19,53,57,58
2025-05-29,12,16,24,32,40,55